what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.commons.ui,1253193527763
started,bundle,org.eclipse.mylyn.compatibility,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.compatibility,1253193527763
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1253193527763
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1253193527763
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1253193527764
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1253193527764
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1253193527764
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1253193527764
started,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1253193527764
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1253193527764
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1253193527764
started,bundle,org.eclipse.wst.common.frameworks,1.1.201.v200811060900,org.eclipse.wst.common.frameworks,1253193527764
started,bundle,org.eclipse.wst.common.project.facet.core,1.3.4.v200810151458,org.eclipse.wst.common.project.facet.core,1253193527764
started,bundle,org.eclipse.wst.jsdt.core,1.0.104.v200901281939,org.eclipse.wst.jsdt.core,1253193527764
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.1.v200807241900,org.eclipse.wst.jsdt.manipulation,1253193527764
started,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1253193527764
started,bundle,org.eclipse.wst.web,1.1.206.v200812100430,org.eclipse.wst.web,1253193527764
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.2.v200809031518,org.eclipse.wst.ws.service.policy.ui,1253193527764
started,bundle,com.instantiations.common.core,5.5.0.200908252127,com.instantiations.common.core,1253193527764
started,bundle,com.instantiations.eclipse.debug,5.5.0.200908252127,com.instantiations.eclipse.debug,1253193527764
started,bundle,com.instantiations.eclipse.startup,5.5.0.200908252127,com.instantiations.eclipse.startup,1253193527764
started,bundle,com.instantiations.eclipse.usageprofiler,5.5.0.200908252127,com.instantiations.eclipse.usageprofiler,1253193527764
started,bundle,com.instantiations.eclipse.usageprofiler.ui,5.5.0.200908252127,com.instantiations.eclipse.usageprofiler.ui,1253193527764
started,bundle,com.instantiations.eclipse.util,5.5.0.200908252127,com.instantiations.eclipse.util,1253193527764
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1253193531750
